"title","link"
"Pass notes  Want to visit the moon but don’t have a spaceship? Dubai to the rescue! ","https://www.theguardian.com/travel/shortcuts/2022/sep/14/want-to-visit-the-moon-but-dont-have-a-spaceship-dubai-to-the-rescue"
"‘Surprisingly sustainable’  Fashion meets eco meets politics at New York fashion week ","https://www.theguardian.com/fashion/2022/sep/14/new-york-fashion-week-sustainable-eco-politics"
"Environment  EU limits subsidies for burning trees under renewable energy directive ","https://www.theguardian.com/environment/2022/sep/14/eu-limits-subsidies-for-burning-trees-under-renewable-energy-directive"
"Energy  Green hydrogen could counter crisis, says British firm ","https://www.theguardian.com/environment/2022/sep/14/green-hydrogen-could-counter-energy-crisis-says-british-firm"
"Air pollution  Healthy teenagers at risk of irregular heartbeats, says study ","https://www.theguardian.com/environment/2022/sep/14/healthy-teenagers-risk-irregular-heartbeats-air-pollution-study"
"Australia  Country is funding just one-tenth of its fair share of global climate action, study finds ","https://www.theguardian.com/australia-news/2022/sep/15/australia-is-funding-just-one-tenth-of-its-fair-share-of-global-climate-action-study-finds"
"   
                 
                  
                  In mourning, we may appear to be one United Kingdom – but don’t fall for the tale of togetherness ","https://www.theguardian.com/commentisfree/2022/sep/14/mourning-united-kingdom-queen-death-westminster-politicians"
"   
                 
                  
                  Ukrainians are joyful as the Russian occupiers flee, but we must be wary of an ambush ","https://www.theguardian.com/commentisfree/2022/sep/14/ukrainians-russian-occupiers-ambush-enemy-guns-resistance"
"Cartoon  Steve Bell on the death of film-maker Jean-Luc Godard ","https://www.theguardian.com/commentisfree/picture/2022/sep/14/steve-bell-on-the-death-of-film-maker-jean-luc-godard-cartoon"
"   
                   
                    
                    There is no single ‘national mood’ – just ask Britain’s republicans ","https://www.theguardian.com/commentisfree/2022/sep/14/there-is-no-single-national-mood-just-ask-britains-republicans"
"   
                   
                    
                    Celebrities, let me fix this for you – you’re not ‘humbled’ to win something, you are ‘honoured’ ","https://www.theguardian.com/commentisfree/2022/sep/14/celebrities-let-me-fix-this-for-you-youre-not-humbled-to-win-something-you-are-honoured"
"   
                   
                    
                    So many people have written to the Queen since she died. How do they find the words? ","https://www.theguardian.com/commentisfree/2022/sep/14/so-many-people-have-written-to-the-queen-since-she-died-how-do-they-find-the-words"
"Man City 2-1 Dortmund  Haaland magic caps comeback win ","https://www.theguardian.com/football/2022/sep/14/manchester-city-borussia-dortmund-champions-league-match-report"
"Chelsea 1-1 Salzburg  Okafor leveller spoils Potter's party after Sterling strike ","https://www.theguardian.com/football/2022/sep/14/chelsea-salzburg-champions-league-match-report"
"Shakhtar 1-1 Celtic  Hoops are held as away fans display anti-monarchy banners ","https://www.theguardian.com/football/2022/sep/14/shakhtar-donetsk-celtic-champions-league-match-report"
"Tennis  Williams praises Brady return and says she is ‘evolving’ not retiring ","https://www.theguardian.com/sport/2022/sep/14/serena-williams-praises-tom-brady-return-as-she-says-she-is-evolving-not-retiring"
"Rangers 0-3 Napoli  Defeat for 10-man hosts despite McGregor’s heroics ","https://www.theguardian.com/football/2022/sep/14/rangers-napoli-champions-league-match-report"
"Football  Premier League to honour Queen with silence, applause and anthem ","https://www.theguardian.com/football/2022/sep/14/premier-league-to-honour-queen-with-silence-applause-and-national-anthem-managers-suits"
"Football  Pogba’s brother Mathias reportedly in police custody amid extortion claims ","https://www.theguardian.com/football/2022/sep/14/paul-pogbas-brother-mathias-reportedly-in-police-custody-amid-extortion-claims"
"Athletics  London and Boston Marathons to include non-binary category for 2023 ","https://www.theguardian.com/sport/2022/sep/14/london-and-boston-marathons-to-include-non-binary-category-for-2023-races"
"Cher Connard  Bestselling novel forces France to reckon with #MeToo movement ","https://www.theguardian.com/world/2022/sep/12/france-metoo-movement-virginie-despentes-bestselling-novel"
"Analysis  Can Germany’s economy minister keep the lights on this winter? ","https://www.theguardian.com/world/2022/sep/11/can-germany-economy-minister-keep-the-lights-on-this-winter"
"War in Ukraine  Europe’s refugees fear falling through the cracks as winter looms ","https://www.theguardian.com/world/2022/sep/11/europe-ukraine-refugees-fear-falling-through-the-cracks-as-winter-looms"
"Italy election  Who’s running, who will win, and why does it matter? ","https://www.theguardian.com/world/2022/sep/08/italy-election-analysis-far-right-brothers-of-italy-coalition-eu"
"Elizabeth II  Queen to lie in state for four days in Westminster Hall ","https://www.theguardian.com/uk-news/2022/sep/14/queens-coffin-leaves-buckingham-palace-for-westminster-hall"
"US  Appeal raises $150,000 for girl ordered to pay family of accused rapist she killed ","https://www.theguardian.com/us-news/2022/sep/14/girl-who-killed-accused-rapist-must-pay-his-family-150000"
"Energy industry  EU expects to raise €140bn from windfall tax on energy firms ","https://www.theguardian.com/business/2022/sep/14/eu-windfall-tax-energy-fossil-fuel-firms"
"Alzheimer’s  Daily multi-vitamins may improve brain function in older people – US study ","https://www.theguardian.com/society/2022/sep/14/daily-multi-vitamins-may-improve-brain-function-in-older-people-us-study"
"Google  Company fails to overturn €4bn fine over Android bundling ","https://www.theguardian.com/technology/2022/sep/14/google-fails-to-overturn-4bn-fine-over-android-bundling"
"Boston  Suspicion falls on employee after explosion at university ","https://www.theguardian.com/us-news/2022/sep/14/northeastern-explosion-package-campus-boston"
"Australia  ‘Wobbly’ moon probable cause of mass tree deaths, scientists say ","https://www.theguardian.com/australia-news/2022/sep/14/wobbly-moon-probable-cause-of-mass-tree-deaths-in-australia-scientists-say"
"Mar-a-Lago documents:   Trump delaying tactics causing ‘irreparable harm’ – DoJ ","https://www.theguardian.com/us-news/2022/sep/14/trump-documents-justice-department-irreparable-harm"
"Abortion  West Virginia passes sweeping ban with few exceptions ","https://www.theguardian.com/us-news/2022/sep/14/west-virginia-abortion-ban"
"LED lighting  Increase ‘risks harming human and animal health’ ","https://www.theguardian.com/environment/2022/sep/14/increase-in-led-lighting-risks-harming-human-and-animal-health"
"   
                 
                  
                  ‘Butt-shakers and toe-tappers’: Ramsey Lewis brought jazz to the people ","https://www.theguardian.com/music/2022/sep/14/ramsey-lewis-butt-shakers-toe-tappers-jazz-people"
"Ticket to Paradise review  George Clooney and Julia Roberts go heavy on the goof ","https://www.theguardian.com/film/2022/sep/14/ticket-to-paradise-review-george-clooney-julia-roberts"
"The Michelangelo of the movie poster  Renato Casaro picks his best film art ","https://www.theguardian.com/film/2022/sep/14/the-michelangelo-of-the-movie-poster-renato-casaro-picks-his-best-film-art"
"A rioter with a rocking horse  Max Reeves’s best photograph ","https://www.theguardian.com/artanddesign/2022/sep/14/anarchist-horse-london-riots-max-reeves-best-photograph"
"House of the Dragon  Thirty-year age gap left star ‘scared’ ahead of sex scenes  ","https://www.theguardian.com/tv-and-radio/2022/sep/14/emily-carey-thirty-year-age-gap-left-house-of-the-dragon-star-scared-of-sex-scenes-with-paddy-considine"
"Turf wars  The artists who want to mow down the menace of lawns ","https://www.theguardian.com/artanddesign/2022/sep/14/turf-wars-the-artists-who-want-to-mow-down-the-menace-of-lawns"
"Fashion  Daring perhaps-not-workwear glitters at Michael Kors’ spring show ","https://www.theguardian.com/fashion/2022/sep/14/daring-perhaps-not-workwear-glitters-at-michael-kors-spring-show"
"Tattoos  Microneedle technique could make tattooing painless and fast ","https://www.theguardian.com/fashion/2022/sep/14/microneedle-tattoo-technique-could-make-tattooing-painless-and-fast"
"Sweetcorn  10 mouthwatering recipes  ","https://www.theguardian.com/food/2022/sep/14/its-corn-10-mouthwatering-recipes-celebrate-song-of-summer"
"A moment that changed me   
                 
                  
                  As I recovered from spinal surgery, the death of Princess Diana made me value life ","https://www.theguardian.com/lifeandstyle/2022/sep/14/a-moment-that-changed-me-as-i-recovered-from-spinal-surgery-the-death-of-princess-diana-made-me-value-life"
"Food  How to make plum clafoutis – recipe ","https://www.theguardian.com/food/2022/sep/14/how-to-make-plum-clafoutis-recipe-felicity-cloake"
"Closet clinic  Double rinse and avoid fragrance: doing laundry with sensitive skin ","https://www.theguardian.com/lifeandstyle/2022/sep/13/double-rinse-and-avoid-fragrance-doing-laundry-with-sensitive-skin"
"Science  Researchers find out the best way to soothe a crying baby ","https://www.theguardian.com/lifeandstyle/2022/sep/13/scientists-find-out-the-best-way-to-soothe-a-crying-baby"
"iPhone 14  Apple plays it safe – thanks to crash detection ","https://www.theguardian.com/technology/2022/sep/14/techscape-apple-new-iphone-14-safety-apple-watch"
"Slavery  My father’s family kept slaves – and he defended it. Acknowledging it matters ","https://www.theguardian.com/world/2022/sep/14/slavery-family-racist-history-ancestors-wrongdoing"
"‘I’ve always thrown myself into work – now it keeps me alive’  The over-65s forced to join the ‘great unretirement’ ","https://www.theguardian.com/society/2022/sep/14/ive-always-thrown-myself-into-work-now-it-keeps-me-alive-the-over-65s-forced-to-join-the-great-unretirement"
"Education  Do later school start times make teens happier? ","https://www.theguardian.com/education/2022/sep/14/california-later-school-start-times-law-teens-sleep"
"Discovered in the deep  The crustacean with eyes for a head ","https://www.theguardian.com/environment/2022/sep/14/discovered-in-the-deep-the-transparent-crustacean-with-enormous-eyes-cystisoma"
"Netherlands  ‘Unstoppable’ bird flu epidemic causes growing alarm among farmers  ","https://www.theguardian.com/environment/2022/sep/14/unstoppable-bird-flu-epidemic-causes-growing-alarm-among-dutch-farmers"
"The reader interview  Post your questions for Paul Heaton and Jacqui Abbott ","https://www.theguardian.com/music/2022/sep/06/post-your-questions-for-paul-heaton-and-jacqui-abbott"
"Russians  Tell us what the mood is like in your country ","https://www.theguardian.com/world/2022/may/16/russians-tell-us-what-the-mood-is-like-in-your-country"
"Tell us  How have you been affected by the situation in Ukraine? ","https://www.theguardian.com/world/2022/jan/26/living-in-ukraine-how-have-you-been-affected-by-the-current-situation"
"Get in touch  Share a story with the Guardian ","https://www.theguardian.com/community/2015/sep/02/guardianwitness-send-us-a-story"
"  
            
             Podcast
             
             
             Will Liz Truss’s energy plan keep Britain warm this winter? 
              ","https://www.theguardian.com/news/audio/2022/sep/14/will-liz-trusss-energy-plan-keep-britain-warm-this-winter-podcast"
"   Listen to previous episodes   ","https://www.theguardian.com/news/series/todayinfocus"
"‘Like part of my Britishness has gone’  The view from London’s streets as Charles becomes king  ","https://www.theguardian.com/uk-news/video/2022/sep/10/like-part-of-my-britishness-has-gone-the-view-from-londons-streets-as-charles-becomes-king"
"In her own words  Remembering Queen Elizabeth II ","https://www.theguardian.com/uk-news/video/2022/sep/08/queen-elizabeth-ii-in-her-own-words-video-obituary"
"From off-mic quips to tea with Paddington  The Queen's sense of humour remembered ","https://www.theguardian.com/uk-news/video/2022/sep/08/remembering-the-queens-great-sense-of-humour-video"
"Bolsonaro's war on the Amazon  Examining evidence of crimes against Indigenous people ","https://www.theguardian.com/world/video/2022/sep/06/bolsonaro-war-on-the-amazon-examining-evidence-of-crimes-against-indigenous-people-video"
"30 hours to power   Liz Truss's journey to becoming PM  ","https://www.theguardian.com/politics/video/2022/sep/06/the-30-hours-that-brought-liz-truss-to-no-10-video-timeline"
"'This is inhumanity'  The Ukrainians living on a nuclear frontline ","https://www.theguardian.com/world/video/2022/sep/01/the-ukrainians-living-on-a-nuclear-frontline-this-is-inhumanity-video"
"'Plague proportion'  New Zealand’s wallaby hunters cull invasive species ","https://www.theguardian.com/world/video/2022/sep/04/plague-proportion-new-zealands-wallaby-hunters-cull-invasive-species-video"
"'I count myself as a Black Ukrainian'  The fashion designer starting again in Budapest  ","https://www.theguardian.com/world/video/2022/aug/27/i-count-myself-as-a-black-ukrainian-the-fashion-designer-starting-again-in-budapest-video"
"Rockets and air raids  How Ukrainian football is rising from the rubble ","https://www.theguardian.com/football/video/2022/aug/26/rockets-and-air-raids-how-ukrainian-football-is-rising-from-the-rubble-video"
"London  Queen Elizabeth II’s coffin procession ","https://www.theguardian.com/uk-news/gallery/2022/sep/14/queen-elizabeth-iis-coffin-procession-in-pictures"
"Wednesday’s best photos  Procession preparation and a military drill ","https://www.theguardian.com/news/gallery/2022/sep/14/procession-preparation-and-a-military-drill-wednesdays-best-photos"
"In pictures  Queen Elizabeth off-duty ","https://www.theguardian.com/uk-news/gallery/2022/sep/14/queen-elizabeth-at-her-most-relaxed-in-pictures"
"Readers' best photos  A spooky sculpture and driving dogs ","https://www.theguardian.com/community/gallery/2022/sep/14/a-spooky-sculpture-and-driving-dogs-readers-best-photos"
"All bound for Moormerland!  Dreams of a small German town ","https://www.theguardian.com/artanddesign/gallery/2022/sep/13/all-bound-for-moormerland-dreams-of-a-small-german-town-in-pictures"
"Roger Bamber  The acclaimed photographer's life in pictures ","https://www.theguardian.com/artanddesign/gallery/2022/sep/13/acclaimed-photographer-roger-bamber-a-life-in-pictures"
"  Former Soviet states eye opportunities as Russia suffers Ukraine rout ","https://www.theguardian.com/world/2022/sep/14/former-soviet-states-eye-opportunities-as-russia-suffers-ukraine-rout"
"  Ukraine’s officials claim to have discovered ‘torture chamber’ used by Russian troops – as it happened ","https://www.theguardian.com/world/live/2022/sep/14/russia-ukraine-war-latest-kyiv-aims-to-consolidate-gains-in-kharkiv-biden-says-war-will-be-long-haul-live"
"  Swedish PM concedes election defeat to bloc including far-right Sweden Democrats ","https://www.theguardian.com/world/2022/sep/14/swedish-pm-concedes-election-defeat-to-bloc-led-by-far-right-sweden-democrats"
"  End of Covid pandemic ‘in sight’, says World Health Organization ","https://www.theguardian.com/world/2022/sep/14/end-of-covid-pandemic-in-sight-says-world-health-organization"
"  ‘Our lives are destroyed’: families take fight for truth of flight 752 to ICC ","https://www.theguardian.com/world/2022/sep/14/our-lives-are-destroyed-families-take-fight-for-truth-of-flight-752-to-icc"
"  ‘People disappeared’: Izium’s residents on Russia’s occupation ","https://www.theguardian.com/world/2022/sep/14/people-disappeared-iziums-residents-on-russias-occupation"
"  A year on from Aukus, doubts grow about its future as China muscles up ","https://www.theguardian.com/world/2022/sep/15/a-year-on-from-aukus-doubts-grow-about-its-future-as-china-muscles-up"
"  Volodymyr Zelenskiy makes surprise visit to newly recaptured city ","https://www.theguardian.com/world/2022/sep/14/volodymyr-zelenskiy-makes-surprise-visit-to-newly-recaptured-city-izium-ukraine"
"  Germany bans 1,700-strong ‘rocker’ gang for violent crime links ","https://www.theguardian.com/world/2022/sep/14/germany-bans-1700-strong-rocker-gang-for-violent-links"
"  ‘Putin will fail and Europe will prevail,’ EU chief tells MEPs ","https://www.theguardian.com/world/2022/sep/14/putin-will-fail-and-europe-will-prevail-eu-chief-tells-meps"
